date,year,month,month_name,commodity,avg_price_ngn,mom_pct,yoy_pct,highest_state,highest_price,lowest_state,lowest_price
2025-03-01,2025,3,March,Tilapia Fresh,5459.04,6.9574,100.0651,Benue,8323.74,Kebbi,4000.0
2025-03-01,2025,3,March,Titus Frozen,5860.01,5.3146,87.5776,Kwara,8927.29,Oyo,4485.35
2025-03-01,2025,3,March,Tomatoes Fresh,1157.35,4.1584,20.5966,Ebonyi,1882.36,Yobe,650.0
2025-03-01,2025,3,March,Vegetable Oil 75cl,3337.01,7.976,66.5468,Ekiti,4850.0,Jigawa,2517.5
2025-03-01,2025,3,March,Watermelon Fresh Medium,2040.82,5.9503,,Anambra,3057.65,Zamfara,1300.0
2025-03-01,2025,3,March,Wheat Flour 2kg,4114.24,5.7428,66.0555,Imo,6008.67,Bauchi,2925.0
2025-03-01,2025,3,March,Yam Tuber,2141.13,5.89,100.3347,Imo,2765.99,Ondo,1523.42
2025-04-01,2025,4,April,Agric Hen Eggs,259.32,-0.7145,71.9046,Enugu,356.73,Kaduna,220.0
2025-04-01,2025,4,April,Agric Hen Eggs (Crate of 30 Pieces),6150.18,-19.821,,Enugu,7869.33,Jigawa,540.0
2025-04-01,2025,4,April,Beans Brown,2429.39,-7.1428,75.0402,Abia,3600.0,Sokoto,1658.02
2025-04-01,2025,4,April,Beans White,2097.31,-5.3179,59.6759,Enugu,3100.0,Kaduna,1503.96
2025-04-01,2025,4,April,Beef Boneless,6544.54,0.3225,38.9013,Abia,8673.77,Yobe,5300.0
2025-04-01,2025,4,April,Bread Sliced 450g,1688.4,0.4895,,Ogun,2187.92,Osun,1256.25
2025-04-01,2025,4,April,Bread Unsliced 450g,1547.52,-0.8792,,Ebonyi,1922.3,Ekiti,1000.0
2025-04-01,2025,4,April,Carrots Fresh,1931.32,-0.808,,Imo,3000.0,Borno,1200.0
2025-04-01,2025,4,April,Catfish Fresh,5572.49,1.1873,77.4378,Plateau,8213.1,Zamfara,3615.22
2025-04-01,2025,4,April,Chicken Feet,3502.7,0.4485,31.6359,Ondo,4750.0,Gombe,2300.0
