commodity,target_date,as_of_date,month_sin,month_cos,lag1_mom_pct,lag2_mom_pct,lag3_mom_pct,lag12_mom_pct,fuel_mom_pct,fx_mom_pct,is_harvest_month,is_lean_month,is_import,n_history_months,source,target_mom_pct
Beef Boneless,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-2.184773770209447,0.9205177592420011,0.4966154945111212,,,0.0,0,1,0,7,WB_RTFP,0.15027976943031707
Garri White,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-12.352160342497697,5.604738390816211,1.8902643024422794,,,0.0,0,0,0,7,WB_RTFP,3.4996998308137295
Goat Meat Bone-In,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-1.9772748533803508,1.2089578066471596,0.5908340718026706,,,0.0,0,1,0,7,WB_RTFP,0.20352777562435698
Maize White Grain,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-2.0109886717905923,3.580574925424651,2.016380235429227,,,0.0,0,0,0,7,WB_RTFP,-0.48668315194280165
Onions Fresh,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-0.6606360771151287,2.113662106640235,1.2818287649486892,,,0.0,0,1,0,7,WB_RTFP,-0.7935853907769519
Rice Long-Grain Imported,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-1.5391334413043856,1.594988130951469,1.334762142064072,,,,0,0,1,7,WB_RTFP,-0.8819528639441909
Yam Tuber,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,1.2986664137214943,0.6680789898199535,1.1997119801875344,,,0.0,1,0,0,7,WB_RTFP,-0.9946385806740343
Agric Hen Eggs (Crate of 30 Pieces),2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,-0.32750440435654893,-0.6089895381991894,1.5498038546168935,,,0.0,0,0,0,8,WB_RTFP,0.670533062609846
Beans Brown,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,3.301370969495676,-6.026315866301147,7.418749382594103,,,0.0,0,0,0,8,WB_RTFP,5.383579574802111
Beef Boneless,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,0.15027976943031707,-2.184773770209447,0.9205177592420011,,,0.0,0,0,0,8,WB_RTFP,0.10218382551072658
